Province/State,Country/Region,Lat,Long,1/1/2020,1/2/2020,1/3/2020,1/4/2020,1/5/2020,1/6/2020,1/7/2020,1/8/2020,1/9/2020,1/10/2020,1/11/2020,1/12/2020,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020
,Sweden,63,16,5,8,3,1,0,1,1,3,0,-4,3,1,0,2,2,0,2,1,3,8,2,1,4,1,0,5,2,0,0,0,0,2,2,-2,-4,3,-3,3,2,2,3,0,-1,-1,-2,2,5,4,3,0,0,3,3,2,0,-1,-3,-3,-1,0,-5,-5,-4,-1,-3,3,2,4,5,3
,Spain,40,-4,11,11,8,13,11,12,12,14,13,13,12,10,10,9,12,17,14,11,12,9,10,12,12,12,10,12,12,14,15,14,16,17,16,17,18,16,14,14,13,14,17,17,15,16,15,17,17,15,15,17,17,20,21,22,22,19,17,19,20,14,15,14,15,17,16,14,17,18,19,23
South Australia,Australia,-34.9285,138.6007,25,29,37,23,18,25,28,32,36,23,23,27,31,30,25,23,22,24,22,21,25,23,19,23,24,25,25,28,35,39,34,22,23,21,24,26,28,29,31,29,29,27,25,28,24,24,24,27,21,21,22,23,25,30,30,26,21,20,23,26,27,21,20,23,22,22,24,24,25,28
"San Benito, CA",US,36.5761,-120.9876,13,14,13,17,15,12,13,15,9,7,12,9,9,10,9,11,6,8,10,15,13,12,14,16,16,17,13,15,13,13,14,19,20,10,8,9,14,17,19,17,12,17,17,18,16,16,18,18,17,17,17,18,18,15,14,18,20,22,22,23,17,8,14,20,22,21,20,9,11,14
,Belgium,50.8333,4,4,6,10,8,7,7,8,12,13,8,7,9,9,11,12,12,10,8,8,7,3,3,6,4,4,9,9,6,9,11,13,12,12,12,7,9,9,10,11,13,9,8,9,9,10,13,16,10,9,8,11,9,12,13,12,9,6,4,6,10,10,8,8,10,8,7,11,10,11,12
Diamond Princess cruise ship,Others,35.4437,139.638,10,12,12,12,11,12,10,12,14,12,12,11,13,12,11,10,11,6,9,12,12,9,9,14,10,8,9,10,17,16,11,13,13,15,12,15,7,7,12,8,10,11,16,17,15,16,12,16,12,12,13,14,17,15,15,15,10,11,10,13,16,9,15,12,12,14,12,10,18,16
"San Diego County, CA",US,32.7157,-117.1611,21,18,19,20,19,18,24,21,16,16,18,17,17,16,16,16,15,16,19,21,17,15,17,19,18,17,16,18,21,21,21,24,26,19,17,16,16,17,18,18,14,15,19,18,18,18,19,18,18,17,18,22,19,17,17,18,23,23,27,27,19,16,17,22,18,21,19,18,18,21
,Egypt,26,30,17,14,14,13,13,17,15,13,13,14,16,18,20,21,24,17,15,16,15,16,15,14,16,16,17,19,21,21,19,19,18,19,19,19,20,21,24,18,17,16,15,17,21,24,25,25,20,19,19,18,20,21,20,19,12,19,23,26,27,22,22,23,27,30,30,23,24,27,32,26
From Diamond Princess,Australia,35.4437,139.638,10,12,12,12,11,12,10,12,14,12,12,11,13,12,11,10,11,6,9,12,12,9,9,14,10,8,9,10,17,16,11,13,13,15,12,15,7,7,12,8,10,11,16,17,15,16,12,16,12,12,13,14,17,15,15,15,10,11,10,13,16,9,15,12,12,14,12,10,18,16
,Lebanon,33.8547,35.8623,7,6,6,4,6,9,8,4,4,5,7,8,9,9,12,13,7,6,5,5,4,6,5,3,6,8,11,10,8,8,3,4,8,10,9,12,13,3,0,0,0,3,7,9,9,10,10,9,11,9,8,10,6,8,11,9,11,14,15,9,7,10,14,18,19,10,12,17,19,16
"Humboldt County, CA",US,40.745,-123.8695,13,12,13,15,10,8,11,10,8,10,9,7,8,9,6,8,7,9,10,13,14,9,11,14,14,13,12,11,10,14,16,16,13,7,7,9,10,13,12,9,14,17,16,13,13,11,12,12,13,14,15,16,16,13,11,15,18,16,20,15,9,12,14,16,19,15,11,9,11,14
